,title,rank_in_sale,suggested_price(€)
225,Back 4 Blood: Ultimate Edition PS4 & PS5,226,116.96489999999999
226,Ni no Kuni™ II: Revenant Kingdom,227,56.1483
227,Black Desert: Conqueror Edition,228,93.58829999999999
228,The Escapists 2,229,23.388299999999997
229,Mortal Kombat XL,230,46.7883
230,Monster Hunter World: Iceborne Master Edition,231,40.9383
231,Atelier Mysterious Trilogy Deluxe Pack,232,86.5683
232,Mass Effect™: Andromeda – Standard Recruit Edition,233,21.048299999999998
233,Wolfenstein® II: The New Colossus™ (CUSA07377),234,38.5983
234,DIRT 5 PS4 & PS5,235,64.3383
235,World War Z: Aftermath Deluxe Edition,236,52.6383
236,Plants vs. Zombies: Battle for Neighborville™,237,29.238299999999995
237,Warhammer: Chaosbane Slayer Edition,238,58.488299999999995
238,Warhammer: Chaosbane Slayer Edition,239,58.488299999999995
239,FINAL FANTASY XIV: Endwalker [PS4 & PS5],240,43.2783
240,Sniper Elite VR,241,29.238299999999995
241,Chernobylite,242,29.238299999999995
242,Chernobylite,243,29.238299999999995
243,DRAGON BALL FIGHTERZ - FighterZ Pass 2,244,23.388299999999997
244,Skater XL,245,40.9383
245,Battlefield™ 1,246,21.048299999999998
246,Chorus,247,40.9383
247,Battlefield 4™,248,18.708299999999998
248,IMMORTALS FENYX RISING SEASON PASS,249,38.5983
249,My Friend Peppa Pig,250,40.9383
250,ONE PUNCH MAN: A HERO NOBODY KNOWS Deluxe Edition,251,70.1883
251,Crash™ Team Racing Nitro-Fueled - Nitros Oxide Edition,252,64.3383
252,Tormented Souls,253,
253,Tormented Souls,254,18.708299999999998
254,Marvel vs. Capcom: Infinite - Standard Edition,255,40.9383
255,Destiny 2: Shadowkeep,256,23.388299999999997
256,Phoenix Wright: Ace Attorney Trilogy,257,31.578299999999995
257,FINAL FANTASY XV ROYAL EDITION,258,35.0883
258,Wanderer,259,40.9383
259,Tales of Berseria,260,18.708299999999998
260,NASCAR 21: Ignition PS4 and PS5,261,58.488299999999995
261,Assassin's Creed 4 Black Flag,262,29.238299999999995
262,Dead Island: Riptide Definitive Edition,263,15.1983
263,Dead by Daylight: Resident Evil Chapter,264,11.103299999999999
264,One Piece Burning Blood,265,58.488299999999995
265,FINAL FANTASY XIV Online - Complete Edition,266,52.6383
266,The Great Ace Attorney Chronicles,267,38.5983
267,Guilty Gear -Strive- Deluxe Edition PS4 & PS5,268,70.1883
268,DRAGON BALL FIGHTERZ - FighterZ Pass,269,33.918299999999995
269,Weird West,270,38.5983
270,Just Dance® 2022 PS5,271,58.488299999999995
271,Just Dance® 2022 PS4,272,58.488299999999995
272,For Honor Year 3 Pass,273,29.238299999999995
273,God Eater 3,274,58.488299999999995
274,Just Die Already,275,13.443299999999999
275,World War Z: Aftermath,276,40.9383
276,LEGO® DC Super-Villains Deluxe Edition,277,70.1883
277,Diablo® Prime Evil Upgrade,278,49.7133
278,Train Sim World® 2,279,18.708299999999998
279,NBA 2K Playgrounds 2,280,29.238299999999995
280,FINAL FANTASY XIV: Endwalker - Collector’s Edition [PS4 & PS5],281,58.488299999999995
281,NINJA GAIDEN: Master Collection Deluxe Edition,282,46.7883
282,Outer Wilds: Archaeologist Edition,283,38.5983
283,PAW Patrol The Movie: Adventure City Calls,284,40.9383
284,Hunting Simulator 2 Bear Hunter Edition,285,67.8483
285,Hunting Simulator 2 Bear Hunter Edition,286,67.8483
286,Terminator: Resistance Enhanced,287,46.7883
287,Tank Mechanic Simulator,288,18.708299999999998
288,"Black Desert - 2,040 Pearls",289,18.1233
289,Sackboy: A Big Adventure Digital Deluxe Edition PS4 & PS5,290,93.58829999999999
290,AO Tennis 2,291,56.1483
291,KINGDOM HEARTS HD 1.5 + 2.5 ReMIX,292,46.7883
292,Road Maintenance Simulator,293,29.238299999999995
293,Road Maintenance Simulator,294,29.238299999999995
294,Fallout 76,295,40.9383
295,MXGP 2021 - The Official Motocross Videogame,296,58.488299999999995
296,MXGP 2021 - The Official Motocross Videogame,297,58.488299999999995
297,Outer Wilds,298,22.218299999999996
298,For Honor Marching Fire Expansion,299,29.238299999999995
299,KINGDOM HEARTS III Re Mind,300,29.238299999999995
300,KINGDOM HEARTS III,301,64.3383
301,Vampire: The Masquerade - Swansong PRIMOGEN EDITION,302,64.3383
302,MY LITTLE PONY: A Maretime Bay Adventure,303,40.9383
303,Metal Gear Solid V: The Phantom Pain,304,29.238299999999995
304,Bus Driver Simulator,305,18.708299999999998
305,Minecraft Dungeons: Ultimate Edition,306,40.9383
306,Evil Dead: The Game - Deluxe Edition PS4 & PS5,307,58.488299999999995
307,Sifu,308,46.7883
308,FINAL FANTASY VIII Remastered,309,18.708299999999998
309,Oxide Room 104,310,23.388299999999997
310,Serious Sam 4,311,40.9383
311,RESIDENT EVIL 2 Deluxe Edition,312,52.6383
312,FINAL FANTASY® VII,313,15.1983
313,Lake PS4 & PS5,314,18.708299999999998
314,Evil Dead: The Game - Season Pass 1,315,29.238299999999995
315,Grow: Song of the Evertree,316,23.388299999999997
316,Torchlight III,317,38.5983
317,Nickelodeon All-Star Brawl,318,52.6383
318,Far Cry 4 - Gold Edition,319,52.6383
319,DEAD OR ALIVE 6 Digital Deluxe Edition,320,81.88829999999999
320,Persona 5,321,58.488299999999995
321,Open Country,322,15.1983
322,Evil Genius 2: World Domination Deluxe Edition PS4 & PS5,323,64.3383
323,WRC 9 Deluxe Edition FIA World Rally Championship PS4 & PS5,324,67.8483
324,Sakura Wars,325,58.488299999999995
325,MY HERO ONE'S JUSTICE,326,64.3383
326,Trine: Ultimate Collection,327,43.2783
327,Edge Of Eternity,328,29.238299999999995
328,THE KING OF FIGHTERS XV Standard Edition PS4 & PS5,329,58.488299999999995
329,Martha Is Dead PS4™ & PS5™,330,29.238299999999995
330,Max Payne,331,14.0283
331,DRAGON BALL XENOVERSE,332,18.708299999999998
332,Alex Kidd in Miracle World DX,333,18.708299999999998
333,Black Desert: Explorer Edition,334,46.7883
334,Evil Genius 2: World Domination PS4 & PS5,335,40.9383
335,Unravel,336,17.5383
336,Sherlock Holmes: Crimes and Punishments,337,38.5983
337,SWORD ART ONLINE: FATAL BULLET Complete Edition,338,58.488299999999995
338,WWZ Upgrade to Aftermath,339,18.708299999999998
339,The Medium,340,52.6383
