title,age,price,image_src,age_group
Large Skeleton Storage Head – Green,3+,"€24,99",https://www.lego.com/cdn/cs/set/assets/blt1876ab6199c75979/5007889.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Bath Time Fun: Floating Red Panda,1.5+,"€9,99",https://www.lego.com/cdn/cs/set/assets/blt528b3e72447b59d7/10964.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Large Happy Ceramic Mug,3+,"€24,99",https://www.lego.com/cdn/cs/set/assets/bltb2663b36d5325bc9/5007877.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Hydration Bottle 0.5 L – Discovery,3+,"€17,99",https://www.lego.com/cdn/cs/set/assets/blt2ac7ccf5f7932a66/5007788.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Large Winking Girl Ceramic Mug,3+,"€24,99",https://www.lego.com/cdn/cs/set/assets/bltee852267980aea9e/5007876.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Creative Building Time,1.5+,"€44,99€26,99- 40%",https://www.lego.com/cdn/cs/set/assets/blt36a823b4ca69c278/10978.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Sora,1+,"€34,99",https://www.lego.com/cdn/cs/set/assets/blt7d77644a221a760c/5007961.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Arin,1+,"€34,99",https://www.lego.com/cdn/cs/set/assets/blt9c149c208cef2e68/5007963.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Doctor Visit,2+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blteba8a8816c285dcb/10968.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Amusement Park,2+,"€129,99",https://www.lego.com/cdn/cs/set/assets/blt12dfd064a5c34f7b/10956.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Large Ceramic Mug,3+,"€24,99",https://www.lego.com/cdn/cs/set/assets/blt459cc83bc4c10cca/5007875.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Small Skeleton Storage Head – Green,3+,"€16,99",https://www.lego.com/cdn/cs/set/assets/blt25cbc5080b822b0b/5007888.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Large Skeleton Ceramic Mug – Green,3+,"€24,99",https://www.lego.com/cdn/cs/set/assets/blt865c9d0838628e2d/5007886.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
Dinosaur Nursery,2+,"€19,99",https://www.lego.com/cdn/cs/set/assets/blt4eb06a92cb3a8157/10938.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
