,title,suggested_price(€),system,image_src,age_group
52,ISLANDERS: Console Edition,4.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_IslandersConsoleEdition_image500w.jpg,Under 6 Year Old
53,Crash Drive 2,7.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_CrashDrive2_image500w.jpg,Under 6 Year Old
54,Tower Of Babel,6.2,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_TowerOfBabel_image500w.jpg,Under 6 Year Old
55,Marooners,12.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_Marooners_image500w.jpg,Under 6 Year Old
56,Brain Show,14.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_BrainShow_image500w.jpg,Under 6 Year Old
57,Strike! Ten Pin Bowling,10.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/SQ_NSwitchDS_StrikeTenPinBowling_image500w.jpg,Under 6 Year Old
58,Tennis World Tour,49.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/SQ_NSwitch_TennisWorldTour_image500w.jpg,Under 6 Year Old
59,Super Mario Bros.,,Nintendo 3DS,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/virtual_console_nintendo_3ds_8/SQ_3DSVC_SuperMarioBros_image500w.jpg,Under 6 Year Old
60,Farming Simulator 23: Nintendo Switch™ Edition,44.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1X1_NSwitch_FarmingSimulator23NintendoSwitchEdition_image500w.jpg,Under 6 Year Old
61,Keep The Fire - Survival Simulator,8.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_KeepTheFireSurvivalSimulator_image500w.jpg,Under 6 Year Old
62,Classic Games Collection Vol.2,4.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_ClassicGamesCollectionVol2_image500w.jpg,Under 6 Year Old
63,DORAEMON STORY OF SEASONS: Friends of the Great Kingdom,14.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_5/1x1_NSwitch_DoraemonStoryOfSeasonsFriendsOfTheGreatKingdom_image500w.jpg,Under 6 Year Old
64,Terraformers,19.99,Nintendo Switch,https://fs-prod-cdn.nintendo-europe.com/media/images/11_square_images/games_18/nintendo_switch_download_software/1x1_NSwitchDS_Terraformers_image500w.jpg,Under 6 Year Old
