,title,age,suggested_price(€),image_src,age_group
62,Backpack - Monkey,3.0,44.99,https://www.lego.com/cdn/cs/set/assets/blt3b4833dfead2786d/5006495.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
63,Medium Azur Small Brick Backpack,3.0,49.99,https://www.lego.com/cdn/cs/set/assets/bltd81cd0160061de55/5006489.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
64,Crossbody Handbag - Retro Logo,3.0,49.99,https://www.lego.com/cdn/cs/set/assets/bltf364324284e619c3/5006491.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
65,Fire Station & Helicopter,2.0,99.99,https://www.lego.com/cdn/cs/set/assets/blt7a4fa14b7e5d9302/10970.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
66,LEGO® Storage Head – Mini (Silly),4.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt48b31e2862668d99/5006210.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
67,Light Purple Small Brick Backpack,3.0,49.99,https://www.lego.com/cdn/cs/set/assets/blt4e5163bbc2f639e9/5006497.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
68,Lime Small Brick Backpack,3.0,49.99,https://www.lego.com/cdn/cs/set/assets/bltd58c4711c38f90bb/5006496.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
69,Spider-Man & Friends: Funfair Adventure,2.0,59.99,https://www.lego.com/cdn/cs/set/assets/bltd85151e2fccf6ad3/10963.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
70,Wild Animals of South America,2.0,49.99,https://www.lego.com/cdn/cs/set/assets/blt41f9b66fcdd29138/10973.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
71,Animal Train,15.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt7e3613bb0d6b9c34/10955_alt2.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
72,Mack at the Race,2.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt40a52aac61a19d32/10417.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
73,Elsa & Bruni in the Enchanted Forest,2.0,32.99,https://www.lego.com/cdn/cs/set/assets/blt4a500e12dc4ce126/10418.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
74,Frozen Ice Castle,2.0,49.99,https://www.lego.com/cdn/cs/set/assets/bltc6c247b875263a5c/10899_alt.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
75,Car Park and Car Wash,2.0,99.99,https://www.lego.com/cdn/cs/set/assets/bltb78d6231391a1171/10948.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
76,Bulldozer,2.0,9.99,https://www.lego.com/cdn/cs/set/assets/bltc45ce0a409f60bb4/10930_alt2.png?fit=crop&quality=80&width=320&height=320&dpr=1,1.5-3 Year Old
77,LEGO® Medium Creative Brick Box,4.0,29.99,https://www.lego.com/cdn/cs/set/assets/blt70237dec0eef084a/10696.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
78,LEGO® Minifigures Marvel Series 2,5.0,3.99,https://www.lego.com/cdn/cs/set/assets/bltd099cc8c436240fb/71039.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
79,LEGO® Large Creative Brick Box,4.0,49.99,https://www.lego.com/cdn/cs/set/assets/blt5c961fa3e9b716ec/10698.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
80,Twirling Rapunzel,5.0,9.99,https://www.lego.com/cdn/cs/set/assets/bltc2b77387d35da1f8/43214.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
81,Spider-Man's Car and Doc Ock,4.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt007b9c75f4947d64/10789.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
82,Green Baseplate,4.0,8.99,https://www.lego.com/cdn/cs/set/assets/bltf2a3ea25d5fcb718/11023.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
83,White Baseplate,4.0,8.99,https://www.lego.com/cdn/cs/set/assets/bltacddd1ff021e705f/11026.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
84,Electric Sports Car,5.0,9.99,https://www.lego.com/cdn/cs/set/assets/blt47043e3b9b21875b/60383.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
85,Holiday Camper Van,5.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt02c69ce2e75edbf5/60283.jpg?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
86,Fire Rescue Boat,5.0,19.99,https://www.lego.com/cdn/cs/set/assets/blt0e2d022ae559c801/60373.png?fit=crop&quality=80&width=320&height=320&dpr=1,4-5 Year Old
