,category,Image,Title,author,Price
357,Philosophy,https://blackwells.co.uk//jacket/200x200/9780281068630.jpg,1 & 2 Peter & Judah,N. T. Wright (author...,10.92
358,Philosophy,https://blackwells.co.uk//jacket/200x200/9781529112184.jpg,Metaphysical Animals,"Clare Mac Cumhaill, ...",15.15
359,Philosophy,https://blackwells.co.uk//jacket/200x200/9780802882851.jpg,Faith Seeking Understanding,Daniel L. Migliore,32.22
360,Philosophy,https://blackwells.co.uk//jacket/200x200/9781529331646.jpg,NIV Gospel of Mark for Journall...,New International Ve...,10.58
361,Philosophy,https://blackwells.co.uk//jacket/200x200/9781474602266.jpg,The Witches,Stacy Schiff,14.69
362,Philosophy,https://blackwells.co.uk//jacket/200x200/9781789041941.jpg,A Secret History of Christianity,Mark Vernon,17.68
363,Philosophy,https://blackwells.co.uk//jacket/200x200/9781838573690.jpg,Tao Te Ching,"Laozi (author), John...",13.53
364,Philosophy,https://blackwells.co.uk//jacket/200x200/9788185787152.jpg,Kundalini Tantra,Satyananda Saraswati,31.64
365,Philosophy,https://blackwells.co.uk//jacket/200x200/9780197266809.jpg,The Making of the Scottish Drea...,Kylie Marie Murray,88.61
366,Philosophy,https://blackwells.co.uk//jacket/200x200/9780190665067.jpg,For F*ck's Sake,Rebecca Roache,19.7
367,Philosophy,https://blackwells.co.uk//jacket/200x200/9780334062004.jpg,"Mary, Bearer of Life",Christopher J. Cocks...,23.26
368,Philosophy,https://blackwells.co.uk//jacket/200x200/9780310463658.jpg,Reflections for the Grieving Soul,Mike Nappa,15.2
369,Politics,https://blackwells.co.uk//jacket/200x200/9781848258686.jpg,Daily Prayer,Padraig Ó Tuama,14.76
370,Politics,https://blackwells.co.uk//jacket/200x200/9780691165622.jpg,The Great Escape,Angus Deaton,20.73
371,Politics,https://blackwells.co.uk//jacket/200x200/9781526170446.jpg,Unparalleled Catastrophe,Rhys Crilley,92.9
372,Politics,https://blackwells.co.uk//jacket/200x200/9781645021889.jpg,Terra Viva,Vandana Shiva,21.05
373,Politics,https://blackwells.co.uk//jacket/200x200/9781804291481.jpg,Someone Else's Empire,Tom Stevenson,22.15
374,Politics,https://blackwells.co.uk//jacket/200x200/9780241366516.jpg,My Seditious Heart,Arundhati Roy,29.03
375,Politics,https://blackwells.co.uk//jacket/200x200/9781529338645.jpg,Uncommon Wealth,Kojo Koram,16.26
