,image_src,title,category,suggested_price(€)
135,https://www.tradeinn.com/h/13795/137952675/nsp-elements-fish-56-surfboard.jpg,nsp elements fish 5´6´´ surfboard,equipment,514.49
136,https://www.tradeinn.com/h/13795/137952679/nsp-elements-fish-60-surfboard.jpg,nsp elements fish 6´0´´ surfboard,equipment,493.99
137,https://www.tradeinn.com/h/13795/137952682/nsp-elements-fish-64-surfboard.jpg,nsp elements fish 6´4´´ surfboard,equipment,502.99
138,https://www.tradeinn.com/h/13795/137952683/nsp-elements-fish-68-surfboard.jpg,nsp elements fish 6´8´´ surfboard,equipment,507.99
139,https://www.tradeinn.com/h/13795/137952703/nsp-elements-long-86-surfboard.jpg,nsp elements long 8´6´´ surfboard,equipment,576.99
140,https://www.tradeinn.com/h/13795/137952705/nsp-elements-long-90-surfboard.jpg,nsp elements long 9´0´´ surfboard,equipment,614.99
141,https://www.tradeinn.com/h/13795/137952745/nsp-protech-fun-72-surfboard.jpg,nsp protech fun 7´2´´ surfboard,equipment,472.99
142,https://www.tradeinn.com/h/13795/137952753/nsp-protech-long-90-surfboard.jpg,nsp protech long 9´0´´ surfboard,equipment,545.49
143,https://www.tradeinn.com/h/13761/137614058/nsp-coco-dream-rider-76-surfboard.jpg,nsp coco dream rider 7´6´´ surfboard,equipment,738.99
144,https://www.tradeinn.com/h/13795/137952717/nsp-elements-tinder-d8-510-surfboard.jpg,nsp elements tinder-d8 5´10´´ surfboard,equipment,459.49
145,https://www.tradeinn.com/h/13795/137952720/nsp-elements-tinder-d8-60-surfboard.jpg,nsp elements tinder-d8 6´0´´ surfboard,equipment,459.49
146,https://www.tradeinn.com/h/13795/137952726/nsp-elements-tinder-d8-64-surfboard.jpg,nsp elements tinder-d8 6´4´´ surfboard,equipment,468.49
147,https://www.tradeinn.com/h/13795/137952749/nsp-protech-long-80-surfboard.jpg,nsp protech long 8´0´´ surfboard,equipment,523.49
148,https://www.tradeinn.com/h/13975/139752837/nsp-elements-hdt-fish-68-surfboard.jpg,nsp elements hdt fish 6´8´´ surfboard,equipment,481.99
149,https://www.tradeinn.com/h/13975/139752838/nsp-elements-hdt-fish-72-surfboard.jpg,nsp elements hdt fish 7´2´´ surfboard,equipment,549.99
150,https://www.tradeinn.com/h/13975/139752850/nsp-elements-hdt-long-90-surfboard.jpg,nsp elements hdt long 9´0´´ surfboard,equipment,646.49
151,https://www.tradeinn.com/h/13975/139752865/nsp-protech-fun-76-surfboard.jpg,nsp protech fun 7´6´´ surfboard,equipment,529.99
152,https://www.tradeinn.com/h/13975/139752868/nsp-protech-long-90-surfboard.jpg,nsp protech long 9´0´´ surfboard,equipment,605.49
153,https://www.tradeinn.com/h/13975/139752878/nsp-shapers-union-pit-cruiser-510-pu-surfboard.jpg,nsp shapers union pit cruiser 5´10´´ pu surfboard,equipment,717.49
154,https://www.tradeinn.com/h/13975/139752841/nsp-elements-hdt-fun-76-surfboard.jpg,nsp elements hdt fun 7´6´´ surfboard,equipment,569.99
155,https://www.tradeinn.com/h/13975/139752863/nsp-protech-fun-68-surfboard.jpg,nsp protech fun 6´8´´ surfboard,equipment,514.49
156,https://www.tradeinn.com/h/13975/139752885/nsp-shapers-union-slot-machine-510-pu-surfboard.jpg,nsp shapers union slot machine 5´10´´ pu surfboard,equipment,717.49
157,https://www.tradeinn.com/h/13975/139752887/nsp-shapers-union-slot-machine-58-pu-surfboard.jpg,nsp shapers union slot machine 5´8´´ pu surfboard,equipment,706.49
158,https://www.tradeinn.com/h/13805/138050435/nsp-sundownder-soft-80-surfboard.jpg,nsp sundownder soft 8´0´´ surfboard,equipment,409.99
159,https://www.tradeinn.com/h/13805/138050436/nsp-sundownder-soft-90-surfboard.jpg,nsp sundownder soft 9´0´´ surfboard,equipment,444.99
160,https://www.tradeinn.com/h/13795/137952756/nsp-protech-tinder-d8-510-surfboard.jpg,nsp protech tinder-d8 5´10´´ surfboard,equipment,423.49
161,https://www.tradeinn.com/h/13795/137952747/nsp-protech-fun-76-surfboard.jpg,nsp protech fun 7´6´´ surfboard,equipment,472.99
162,https://www.tradeinn.com/h/13795/137952630/nsp-cocoflax-dream-rider-72-surfboard.jpg,nsp cocoflax dream rider 7´2´´ surfboard,equipment,767.49
