name,platforms,original_price,discounted_price,discount,product_type,rank_in_sale,sale_name,date_recorded
DRAGON BALL XENOVERSE 2 - Legendary Pack Set,['PS4'],£13.99,£6.99,-50%,OTHER,96,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Human: Fall Flat PS4 & PS5,"['PS4', 'PS5']",£15.99,£4.79,-70%,FULL_GAME,97,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Human: Fall Flat,"['PS4', 'PS5']",£15.99,£4.79,-70%,FULL_GAME,98,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Terraria – PlayStation®4 Edition,['PS4'],£12.99,£6.49,-50%,FULL_GAME,99,WM_EU_DEALS,2022-07-22 00:00:00+00:00
The Stanley Parable: Ultra Deluxe,"['PS4', 'PS5']",£17.99,£14.39,-20%,FULL_GAME,100,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Assetto Corsa Competizione,"['PS4', 'PS5']",£34.99,£17.49,-50%,FULL_GAME,101,WM_EU_DEALS,2022-07-22 00:00:00+00:00
LEGO® Harry Potter™ Collection,['PS4'],£34.99,£15.74,-55%,FULL_GAME,102,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Bloodborne™,['PS4'],£15.99,£7.99,-50%,FULL_GAME,103,WM_EU_DEALS,2022-07-22 00:00:00+00:00
PGA TOUR 2K21,['PS4'],£49.99,£12.49,-75%,FULL_GAME,104,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Batman: Arkham Knight,['PS4'],£15.99,£9.59,-40%,FULL_GAME,105,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Overcooked! 2,['PS4'],£19.99,£4.99,-75%,FULL_GAME,106,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Evil Dead: The Game PS4 & PS5,"['PS4', 'PS5']",£34.99,£26.24,-25%,FULL_GAME,107,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Assetto Corsa Competizione,['PS4'],£34.99,£12.24,-65%,FULL_GAME,108,WM_EU_DEALS,2022-07-22 00:00:00+00:00
SpellForce III Reforced: Complete Edition,['PS4'],£54.99,£43.99,-20%,PREMIUM_EDITION,109,WM_EU_DEALS,2022-07-22 00:00:00+00:00
SpellForce III Reforced: Complete Edition,['PS5'],£54.99,£43.99,-20%,PREMIUM_EDITION,110,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Tourist Bus Simulator,['PS5'],£24.99,£18.74,-25%,FULL_GAME,111,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Golf With Your Friends,['PS4'],£15.99,£3.99,-75%,FULL_GAME,112,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles Deluxe Edition PS4 & PS5,"['PS4', 'PS5']",£54.99,£32.99,-40%,PREMIUM_EDITION,113,WM_EU_DEALS,2022-07-22 00:00:00+00:00
STAR WARS™ Battlefront™ II: Celebration Edition Upgrade,[],£19.99,£4.99,-75%,OTHER,114,WM_EU_DEALS,2022-07-22 00:00:00+00:00
The Dark Pictures Anthology: House of Ashes PS4 & PS5,"['PS4', 'PS5']",£24.99,£12.49,-50%,FULL_GAME,115,WM_EU_DEALS,2022-07-22 00:00:00+00:00
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,['PS4'],£39.99,£11.99,-70%,FULL_GAME,116,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Disco Elysium - The Final Cut,"['PS4', 'PS5']",£32.99,£16.49,-50%,FULL_GAME,117,WM_EU_DEALS,2022-07-22 00:00:00+00:00
LEGO® Marvel Collection,['PS4'],£49.99,£17.49,-65%,FULL_GAME,118,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Nioh 2,['PS4'],£34.99,£17.49,-50%,FULL_GAME,119,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Diablo® Prime Evil Collection,"['PS4', 'PS5']",£49.99,£29.99,-40%,GAME_BUNDLE,120,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Injustice™ 2 - Legendary Edition,['PS4'],£47.99,£15.35,-68%,FULL_GAME,121,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Immortals Fenyx Rising™ PS4 & PS5,"['PS4', 'PS5']",£59.99,£17.99,-70%,FULL_GAME,122,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Lost Judgment Digital Ultimate Edition PS4 & PS5,"['PS4', 'PS5']",£74.99,£37.49,-50%,GAME_BUNDLE,123,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Car Mechanic Simulator 2021,"['PS4', 'PS5']",£24.99,£18.74,-25%,FULL_GAME,124,WM_EU_DEALS,2022-07-22 00:00:00+00:00
RIDE 4,['PS4'],£49.99,£12.49,-75%,FULL_GAME,125,WM_EU_DEALS,2022-07-22 00:00:00+00:00
RIDE 4,['PS5'],£49.99,£12.49,-75%,FULL_GAME,126,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Assassin's Creed® Rogue Remastered,['PS4'],£24.99,£8.24,-67%,FULL_GAME,127,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Destiny 2: Bungie 30th Anniversary Pack,"['PS4', 'PS5']",£21.99,£13.19,-40%,OTHER,128,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Psychonauts 2,['PS4'],£49.99,£24.99,-50%,FULL_GAME,129,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Kao the Kangaroo,['PS4'],£24.99,£19.99,-20%,FULL_GAME,130,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Kao the Kangaroo,['PS5'],£24.99,£19.99,-20%,FULL_GAME,131,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Tomb Raider: Definitive Edition,['PS4'],£15.99,£2.39,-85%,FULL_GAME,132,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Rust Console Edition - Deluxe,['PS4'],£49.99,£37.49,-25%,GAME_BUNDLE,133,WM_EU_DEALS,2022-07-22 00:00:00+00:00
Hell Let Loose,['PS5'],£34.99,£24.49,-30%,FULL_GAME,134,WM_EU_DEALS,2022-07-22 00:00:00+00:00
